Dist Name,Indicator 1 Definition,Indicator 2,Prov Name,Continuous 1,Geometry,Latitude (generated),Longitude (generated)
Kushk,Number of persons excluding nomadic population (according to official estimates),,Hirat,"129,560.00",Polygon,35.01372112,62.20142815
Kunduz,Number of persons excluding nomadic population (according to official estimates),,Kunduz,"323,956.00",Polygon,36.79226407,68.8604601
Kozkunar,Number of persons excluding nomadic population (according to official estimates),,Nangarhar,"57,082.00",Polygon,34.56464456,70.65457845
Kot,Number of persons excluding nomadic population (according to official estimates),,Nangarhar,"54,034.00",Polygon,34.17295631,70.62734594
Koran wa Monjan,Number of persons excluding nomadic population (according to official estimates),,Badakhshan,"9,880.00",Polygon,35.90298144,70.69836857
Kohsan,Number of persons excluding nomadic population (according to official estimates),,Hirat,"56,472.00",Polygon,34.77174776,61.24909831
Kohistanat,Number of persons excluding nomadic population (according to official estimates),,Sar-e-Pul,"83,063.00",Polygon,35.40615893,65.96333754
Kohistan,Number of persons excluding nomadic population (according to official estimates),,Faryab,"56,594.00",Polygon,35.3494231,64.9565951
Kohistan,Number of persons excluding nomadic population (according to official estimates),,Badakhshan,"17,198.00",Polygon,37.41068617,70.66214929
Kohband,Number of persons excluding nomadic population (according to official estimates),,Kapisa,"24,394.00",Polygon,35.11098722,69.4606537
Koh-e- Safi,Number of persons excluding nomadic population (according to official estimates),,Parwan,"32,200.00",Polygon,34.75457346,69.46807485
Kofab,Number of persons excluding nomadic population (according to official estimates),,Badakhshan,"23,174.00",Polygon,37.95722545,70.69928428
Kishindeh,Number of persons excluding nomadic population (according to official estimates),,Balkh,"50,496.00",Polygon,35.92627902,66.92950545
Khwajaumari,Number of persons excluding nomadic population (according to official estimates),,Ghazni,"19,637.00",Polygon,33.6732218,68.41467009
Khwajahijran,Number of persons excluding nomadic population (according to official estimates),,Baghlan,"54,643.00",Polygon,35.99335934,69.29497869
Khwajaghar,Number of persons excluding nomadic population (according to official estimates),,Takhar,"69,720.00",Polygon,37.00871517,69.40391421
Khwajadukoh,Number of persons excluding nomadic population (according to official estimates),,Jawzjan,"27,932.00",Polygon,36.93539649,65.6190009
Khwajabahawuddin,Number of persons excluding nomadic population (according to official estimates),,Takhar,"24,150.00",Polygon,37.33212726,69.56994554
Khwaja Sabzposh,Number of persons excluding nomadic population (according to official estimates),,Faryab,"52,692.00",Polygon,36.04678474,64.97336464
Khwahan,Number of persons excluding nomadic population (according to official estimates),,Badakhshan,"17,198.00",Polygon,37.83510791,70.41793261
Khuram Wa Sarbagh,Number of persons excluding nomadic population (according to official estimates),,Samangan,"41,348.00",Polygon,35.9463763,68.05742583
Khulm,Number of persons excluding nomadic population (according to official estimates),,Balkh,"74,990.00",Polygon,36.84276722,67.68130658
Khost Wa Firing,Number of persons excluding nomadic population (according to official estimates),,Baghlan,"65,499.00",Polygon,35.92799513,69.64476151
Khoshi,Number of persons excluding nomadic population (according to official estimates),,Logar,"25,004.00",Polygon,33.99240402,69.29207314
Khogyani,Number of persons excluding nomadic population (according to official estimates),,Nangarhar,"135,522.00",Polygon,34.26133347,70.08451211
Khinjan,Number of persons excluding nomadic population (according to official estimates),,Baghlan,"31,590.00",Polygon,35.45305756,68.98685578
Khinj (Hisa-e- Awal),Number of persons excluding nomadic population (according to official estimates),,Panjsher,"41,470.00",Polygon,35.41266625,69.75309107
Khasuruzgan,Number of persons excluding nomadic population (according to official estimates),,Uruzgan,"58,668.00",Polygon,32.97705185,66.7291304
Khaskunar,Number of persons excluding nomadic population (according to official estimates),,Kunarha,"36,348.00",Polygon,34.59913786,70.91987163
Khashrod,Number of persons excluding nomadic population (according to official estimates),,Nemroz,"26,346.00",Polygon,31.72530404,62.93904292
Khash,Number of persons excluding nomadic population (according to official estimates),,Badakhshan,"39,518.00",Polygon,36.95191771,70.71471962
Kharwar,Number of persons excluding nomadic population (according to official estimates),,Logar,"27,199.00",Polygon,33.70283666,68.89024336
Khanaqa,Number of persons excluding nomadic population (according to official estimates),,Jawzjan,"24,150.00",Polygon,36.79077019,66.06364151
Khanabad,Number of persons excluding nomadic population (according to official estimates),,Kunduz,"142,646.00",Polygon,36.64596145,69.10545224
Khan-e-Char Bagh,Number of persons excluding nomadic population (according to official estimates),,Faryab,"24,028.00",Polygon,37.13525908,65.23882433
Khamyab,Number of persons excluding nomadic population (according to official estimates),,Jawzjan,"14,514.00",Polygon,37.28426812,65.7499532
Khakrez,Number of persons excluding nomadic population (according to official estimates),,Kandahar,"23,662.00",Polygon,32.02281056,65.45324323
Khak-e-Safed,Number of persons excluding nomadic population (according to official estimates),,Farah,"31,468.00",Polygon,32.7495507,62.10371662
Khak-e-Jabar,Number of persons excluding nomadic population (according to official estimates),,Kabul,"14,880.00",Polygon,34.34049987,69.41624025
Khader,Number of persons excluding nomadic population (according to official estimates),,Daykundi,"48,423.00",Polygon,33.86608855,65.78718297
keti,Number of persons excluding nomadic population (according to official estimates),,Daykundi,"34,762.00",Polygon,33.53045983,65.74766026
Keshem,Number of persons excluding nomadic population (according to official estimates),,Badakhshan,"83,916.00",Polygon,36.74830987,70.12735549
Karukh,Number of persons excluding nomadic population (according to official estimates),,Hirat,"66,416.00",Polygon,34.48369209,62.65658671
Kang,Number of persons excluding nomadic population (according to official estimates),,Nemroz,"23,297.00",Polygon,31.33531618,61.78213059
Kandahar,Number of persons excluding nomadic population (according to official estimates),,Kandahar,"548,645.00",Polygon,31.51801208,65.69743133
Kamdesh,Number of persons excluding nomadic population (according to official estimates),,Noristan,"26,224.00",Polygon,35.47078291,71.31213945
